                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
bar bra
hellestein steinhelle
dra rad
ens sen
søsteren søstrene
stuen suten
ristet sitter
niste stien
lysnet lysten
navn vann
ordet torde
krok rokk
glinset glinste
kisten skinte
den ned
dem med
at ta
etter rette
ende nede
kristent kristnet
dro ord rod
denne enden
bry byr
rå år
løst støl
mor rom
lovt tolv
engang gangen
truet turte
